            C,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  28.7983941425 -13.7000000000  -8.7086652519            0.52734178235            0.43569997199            0.31528283029            7056736634800            0.93690292179             34.465389253
  28.8129001720 -13.7000000000  -8.7174614271            0.52698144982            0.43470735369            0.31502700862            7097818380100            0.93694829559             34.297437049
  28.9615465735 -13.7000000000  -8.8098334399            0.52980243574            0.43622316163            0.31591049631            7042460000200             0.9368214441             34.482407579
  29.6763128634 -13.7000000000  -9.3127109940            0.53674549556            0.44153103638            0.31901551692            6905520849800            0.93605824593             34.752945292
  30.5865451955 -13.7000000000 -10.1263544449            0.54379911103            0.44563071351            0.32160493963            6869974943000            0.93570968581              35.07483879
  31.4012333559 -13.7000000000 -11.1377436406            0.54582566124            0.44763143466            0.32235924418            6883377497900            0.93548553742             35.231041122
  32.0847707503 -13.7000000000 -12.4140067822            0.53955251117            0.44384472874            0.31948086904            6991763378500            0.93636821446             35.017359438
  55.0000000000 -13.7000000000  24.5000000000              1.557338419            0.86376189497            0.58442939353            2710812454500            0.75246474197             42.826110128
  23.6006630317   6.0331180025  11.8484817632            0.79695868621            0.50577860698            0.36918640815            6261906843900             0.9114677503             30.194895524
  23.6193661091   6.0154645317  11.8290512501              0.797885874            0.50645784806            0.37000407711            6235101733500            0.91148302761             30.248568913
  23.7875240015   5.8300035396  11.6405609552             0.7987682911            0.50779620066            0.37008012747            6254622846400            0.91126316488               30.3294214
  24.2096934692   4.8857352653  10.9499585043            0.79309506314            0.50713991179            0.36904060625            6249087008600            0.91194961519             30.508612666
  24.4653030321   4.0458254763  10.4837619609            0.79010215444            0.50732140096            0.36831226637            6197516307300            0.91241638297             30.549348028
  24.6904964971   3.6286004095  10.2815190477            0.79327698747            0.50955462693            0.36947016813            6095248984600            0.91215313625             30.763577533
  16.8199288952  26.3000000000  24.5000000000            0.91879807602            0.56745605936             0.4243738515            6729539474000            0.88147902784             32.891184229
  15.3113579477  26.2961308661  23.2071229455            0.85080716592            0.55786072051            0.42186859127            8181385826200            0.88363011322             36.773217362
  26.8650823108  -9.6465908393  -7.6417385497            0.49784218268            0.39899791794            0.29321842285            8183133985300             0.9394878746             29.709676217
  26.8812859072  -9.6290294425  -7.6337529771            0.49996473339            0.39981442039            0.29324184645            8216931733100            0.93962548725             29.820084828
  27.0464944050  -9.4520090397  -7.5566299172             0.5034478311            0.40080503749            0.29413817087            8116121209800            0.93937935507              29.55245348
  27.8574872654  -8.6205038122  -7.2800541208            0.52706629711            0.41134103471            0.29942626353            7739684226500            0.93778718054             30.647129378
  29.0150700020  -7.4964953480  -7.0641279833            0.55862880388            0.42798820835              0.308275742            7394131392200            0.93517884192             30.936167215
  30.0048296597  -6.5405643284  -6.9130383709            0.58472834288            0.44259304181            0.31655550561            7168036114500            0.93252258478             31.465454742
  30.6080374057  -5.9678248661  -6.8328681250            0.60154397297            0.45236351308            0.32263660866            7020899368000            0.93103149127             32.075836712
  55.0000000000   6.3705972649  24.5000000000             1.6374891714            0.84319244725            0.58662084912            2932245974000            0.77854253885               43.3395192
  25.2367459917 -11.5823718399  -8.5567582033            0.44773806705            0.38062873669            0.28279473326            9044393832500             0.9425066403             28.707064179
  21.7429697388  24.2484936918  24.5000000000             1.0470351384            0.61112795527            0.44795026124            5043148407000            0.86873596913             31.677670737
  21.8403170852  24.1405932115  24.5000000000             1.0490887996            0.61188441912            0.44856132358            5066165838600            0.86885526847             32.016523831
  22.0371890252  23.3301897543  24.5000000000             1.0562688263            0.61570222306            0.45011373673            5015760576900            0.86877121408             32.699273595
  23.4514607842  26.3000000000  24.5000000000             1.0788659711            0.62408159961            0.45519284302            4747709474200            0.86008182053             31.695667893
  21.4365250585  20.3746479169  24.3583669773             1.0386736809            0.60451428333            0.44268034353            5230201459000            0.87620895097             32.815638826
  20.9211498131  16.5645035661  24.3832435878             1.0204673754            0.59138508663            0.43431047868            5443185541500            0.88388834123             33.028121226
  55.0000000000  26.3000000000 -15.5000000000            0.78459707513            0.74125444257            0.55036527822           62979480626000            0.73039877618             53.862750057
  25.6445840554 -11.2302301307  -8.9086836028            0.45035248503            0.38195553428            0.28359195802            8959316743200            0.94188507671              28.50261702
  25.0677141078 -11.1019146024  -8.0840372906            0.45104705511            0.38162565753            0.28393153028            9114611566900            0.94166348427             28.319246347
  25.7520496678 -11.2096828212  -9.1118818425            0.44787431714            0.38117048001            0.28310510878            9183663862000            0.94183495491             28.408987103
  20.4207164113  -3.2014295660   7.7718823521            0.63460108108            0.44625583061            0.33545907803            7561080611600            0.92707979111              30.99323325
  20.6238680176  -3.6664794581   8.2668968864            0.64828196704            0.45485269183            0.34020916236            7275839275300            0.92591697288             31.689485902
  30.0169372276  26.0028527676  11.6455817452            0.80598524233            0.62278744006            0.45714066381           10563252960900            0.84733746799             43.497046711
  30.0014213340  25.7593116405  11.2640905023            0.80193674331            0.63154430524            0.46337317844           11105765085300            0.84287400649             43.779183744
  55.0000000000  26.3000000000  24.5000000000             1.7517301201             0.8965737916            0.62058626704            2698575339200            0.71928093194              45.50978129
  25.3172965723 -10.9996296717  -8.4680881895            0.44933583165             0.3810242394            0.28323761468            9106453489700            0.94175444084             28.105086964
  25.3171889948 -10.9985397938  -8.4688720440            0.45057806353             0.3821741182            0.28418322944            9089263256000            0.94138488957              28.32730162
  25.3170070502 -10.9865987551  -8.4768170296            0.44987416121            0.38148471628            0.28385880965            9198814576200            0.94164349397             28.532268227
  28.5595315196  12.5741399288  10.4669490790            0.90473409081            0.58287761884            0.41096389228            5113074781400            0.88980251972             30.916302618
  28.4198280856  12.4066814187  10.7220669088            0.90739520034            0.58242138088            0.41102583706            5211263065700             0.8898340195              30.75974031
  19.3960085540 -13.7000000000  -0.0240997446            0.46673663799            0.40373752484            0.30088835481            8356493122500            0.93708786143             31.118281478
  18.1473348611 -13.7000000000   0.5384056289            0.45056335379            0.39914007455            0.29880147403            8961647622700            0.93665973632             31.329559755
  55.0000000000 -13.7000000000 -15.5000000000            0.98419791039            0.67376587153            0.46306434209            4321158589400            0.87202023853             40.181289501
  25.2833686460 -10.9057481609  -8.4872123009            0.44852125237            0.38130505305            0.28397726352            9257960634700            0.94146981443             28.116740992
  25.2833160045 -10.9049758097  -8.4880298626            0.45004100036             0.3825231685            0.28446667898            9186868820600            0.94134118651             27.991567893
  20.6832100657   8.8113816016  14.8037386764            0.78946753908            0.49310462167            0.36594746156            6848122950700            0.91179076027             29.672749063
  21.9843664396  11.4612609186  15.5002513549            0.83710369537            0.51869836054            0.38139671485            6260741404300            0.90526280137             29.492742527
  22.6417777183  12.3009107553  15.4816452719            0.85598251049            0.53117383636            0.38842639167            6012211414700            0.90229283229             29.505934655
  15.0537869909 -13.1447104250   8.6851916936            0.54120359698            0.46962731568            0.34481292045            8524316421600            0.92051782589             34.475028157
  15.3632941761 -12.6582338549  11.1545346242            0.59626558504            0.49711886337             0.3627890904            7859724503100            0.91346898933             35.346925595
  15.1689421314 -13.5074430780  16.2942203316            0.70011678491            0.56212340204            0.40158882502            7472798563600            0.88990135637             37.283199153
  24.8551115753 -10.4071695377  -7.8375056452            0.45039685091            0.38274476501            0.28589882912            9361976117100            0.94064684141             27.700443434
  25.2096774618 -10.6661077078  -8.6301589831            0.44455127726             0.3818578036            0.28479250588            9374795952400            0.94063267551             27.886263653
  25.2082544514 -10.6542135360  -8.6449059780            0.44542246119            0.38190428135            0.28454698463            9372465073200            0.94107935809             27.522505772
